'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBN',"'PUBLICATION INFO'",'RATING','REVIEW',"'ENTRY DATE'",'COPIES','SUBJECTS','TAGS'
"Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher","Richard Phillips Feynman","Feynman, Richard Phillips",2005,,,[0140276661],"Basic Books (2005), Paperback",0,,"2006-08-21 11:22:13",1,"Physics > 
Physics"
"The Pleasure of Finding Things Out : The Best Short Works of Richard Feynman","Richard Feynman","Feynman, Richard",2001,,,[0140290346],"Gardners Books (2001), Paperback",0,,"2006-08-21 11:22:35",1,"Physics > 
Science > 
Science"
"Don't You Have Time to Think?","Richard P. Feynman","Feynman, Richard P.",2005,,,[0713998474],"Allen Lane (2005), Hardcover",0,,"2006-08-21 11:22:54",1,"Feynman, Richard Phillips > 
Physicists > United States > Biography > 
Physicists > United States > Biography
Physicists > United States > Correspondence > 
Physicists > United States > Correspondence
Physics > 
Physics"
"Moby-Dick: or, The Whale (Penguin Classics)","Herman Melville","Melville, Herman",2002,,,[0142437247],"Penguin Classics (2002), Edition: Rev Ed, Paperback",0,,"2006-08-21 11:24:07",1,"Adventure fiction > 
Adventure fiction
Adventure stories > 
Adventure stories
Ahab, Captain (Fictitious character) > Fiction > 
Ahab, Captain (Fictitious character) > Fiction
Allegories > 
American literature > History and criticism
Cartoons and comics > 
Cartoons and comics
Epic literature > 
Melville, Herman, 1819-1891 Moby Dick > 
Melville, Herman, 1819-1891. Moby Dick > 
Mentally ill > Fiction > 
Mentally ill > Fiction
Psychological fiction > 
Psychological fiction
Sailors > Fiction > 
Sailors > Fiction
Sea stories > 
Sea stories
Sea stories, American > History and criticism
Ship captains > Fiction > 
Ship captains > Fiction
Shipwrecks > Fiction > 
Shipwrecks > Fiction
Whales > Fiction > 
Whales > Fiction
Whales in literature
Whaling > 
Whaling > Fiction > 
Whaling > Fiction
Whaling in literature
Whaling ships > Fiction > 
Whaling ships > Fiction"
"Three Men in a Boat (Penguin Classics S.)","Jerome K. Jerome","Jerome, Jerome K.",2004,,,[0141441216],"Penguin Books Ltd (2004), Edition: New Ed, Paperback",0,,"2006-08-21 11:24:17",1,"Adventure fiction > 
Adventure fiction
Black Forest (Germany) > Fiction > 
Black Forest (Germany) > Fiction
Boats and boating > England > Thames River > Fiction > 
Boats and boating > Fiction > 
Boats and boating > Fiction
Dogs > England > Thames River > Fiction > 
English language > Textbooks for foreign speakers > 
Humorous fiction > 
Humorous fiction
Humorous stories > 
Humorous stories, English
Male friendship > Fiction > 
Male friendship > Fiction
Readers > 1950- > 
Thames River (England) > Fiction > 
Thames River (England) > Fiction
Wit and humor > 
Wit and humor
Young men > Travel > England > Thames River > Fiction"
"Nineteen Eighty-four (Penguin Modern Classics)","George Orwell","Orwell, George",2000,,,[0141801913],"Penguin Audiobooks (2000), Edition: Unabridged, Audio Cassette",0,,"2006-08-21 11:27:21",1,"Adaptation
Civilization, Modern > 1950- > Congresses > 
Dystopias > 
Dystopias > Congresses > 
Dystopias > Fiction > 
Dystopias > Fiction
Dystopias
Dystopias in literature > 
Dystopias in literature
Large type books > 
London (England) > Fiction > 
London (England) > Fiction
Manuscripts, English > Facsimiles > 
Manuscripts, English > Facsimiles
Orwell, George, 1903-1950 > Criticism and interpretation > Congresses > 
Orwell, George, 1903-1950 > Manuscripts > Facsimiles > 
Orwell, George, 1903-1950. Nineteen eighty-four > 
Orwell, George, 1903-1950. Nineteen eighty-four > Congresses > 
Political fiction > 
Political fiction
Political fiction, English > History and criticism > 
Satire > 
Science fiction > 
Science fiction
Science fiction, English > History and criticism > 
Science fiction, English
Science fiction,English > History and criticism
Tolaletarianism > Fiction
Totalitarianism > Fiction > 
Totalitarianism > Fiction
Totalitarianism
Totalitarianism and literature > 
Utopias > Congresses > 
Utopias in literature > Congresses"
"Homage to Catalonia (Penguin Modern Classics)","George Orwell","Orwell, George",2000,,,[0141187379],"Penguin Books Ltd (2000), Edition: New Ed, Paperback",0,,"2006-08-21 11:27:53",1,"Authors, English > 20th century > Biography > 
Authors, English > Biography
Catalonia > 
Catalonia (Spain) > History > 20th century > 
Catalonia (Spain) > History > 20th century
Catalonia. [from old catalog]
Orwell, George, 1903-1950 > Correspondence > 
Orwell, George, 1903-1950 > Travel > Spain > Catalonia > 
Soldiers > Spain > Biography > 
Soldiers > Spain > Biography
Spain > History > Civil War, 1936-1939 > Personal narratives > 
Spain > History > Civil War, 1936-1939 > Personal narratives, British > 
Spain > History > Civil War, 1936-1939 > Personal narratives, British
Spain > Personal narratives. > Civil War, 1936-1939
Spain > Personal narratives. [from old catalog] > Civil war, 1936-1939
Spain > Politics and government > 1931- > 
Spain > Politics and government > 1931- [from old catalog]
Spain > Politics and government > 1931-1939 > 
Spain > Politics and government > 1931-1939"
"Vox (Vintage Contemporaries)","Nicholson Baker","Baker, Nicholson",1993,,,[1862070962],"Vintage (1993), Edition: Reissue, Paperback",0,,"2006-08-21 11:28:24",1,"Erotic fiction > 
Erotic fiction
Man-woman relationships > Fiction > 
Man-woman relationships > Fiction"
"The Mezzanine (Vintage Contemporaries)","Nicholson Baker","Baker, Nicholson",1990,,,[1862070989],"Vintage (1990), Edition: Reissue, Paperback",0,,"2006-08-21 11:28:27",1,"Men > United States > Fiction > 
Men > United States > Fiction"
"The Fermata (Vintage Contemporaries)","Nicholson Baker","Baker, Nicholson",1995,,,[0099286718],"Vintage (1995), Edition: Reprint, Paperback",0,,"2006-08-21 11:28:31",1,"Erotic fiction > 
Erotic fiction
Erotic stories > 
Science fiction > 
Science fiction"
"The Size of Thoughts: Essays and Other Lumber (Vintage Contemporaries)","Nicholson Baker","Baker, Nicholson",1997,,,[0099579715],"Vintage (1997), Paperback",0,,"2006-08-21 11:28:35",1,"American essays > 20th century"
"A Box of Matches (Vintage Contemporaries)","Nicholson Baker","Baker, Nicholson",2004,,,[0701174021],"Vintage (2004), Edition: Reprint, Paperback",3,,"2006-08-21 11:28:41",1,"Domestic fiction > 
Domestic fiction
Early rising > Fiction
Middle aged men > Fiction > 
Middle-aged men > Fiction > 
Middle-aged men > Fiction
New England > Fiction > 
New England > Fiction
Psychological fiction > 
Psychological fiction"
"Room Temperature (Vintage Contemporaries)","Nicholson Baker","Baker, Nicholson",1991,,,[1862070997],"Vintage (1991), Edition: Reissue, Paperback",0,,"2006-08-21 11:28:46",1,"Infants > Fiction > 
Young men > United States > Fiction"
"Checkpoint: A Novel","Nicholson Baker","Baker, Nicholson",2004,,,[1400044006],"Knopf (2004), Hardcover",4,,"2006-08-21 11:28:58",1,"Male friendship > Fiction > 
Male friendship > Fiction
Presidents > Assassination > Fiction > 
Presidents > Assassination > Fiction
Presidents > Assassination attempts > United States > Fiction > 
Psychological fiction > 
Psychological fiction
Satire > 
United States > Politics and government > Fiction > 
Washington (D.C.) > Fiction > 
Washington (D.C.) > Fiction"
"GÃ¶del, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter","Hofstadter, Douglas R.",1999,,,[0465026567],"Basic Books (1999), Edition: 20th Anniv, Paperback",0,,"2006-08-21 11:29:22",1,"Artificial intelligence > 
Artificial intelligence
Bach, Johann Sebastian, 1685-1750 > 
Decidability (Mathematical logic) > 
Escher, M. C. (Maurits Cornelis), 1898-1972 > 
Gèodel's theorem > 
Gèodel, Kurt > 
Gï¿½del, Kurt > 
Gï¿½odel, Kurt > 
Godel, Kurt > 
Gödel, Kurt > 
Logic, Symbolic and mathematical > 
Logic, Symbolic and mathematical
Mathematics > 
Metamathematics > 
Metamathematics
Symmetry > 
Symmetry"
"The Age of Reason: A Novel (Vintage International)","Jean-Paul Sartre","Sartre, Jean-Paul",1992,,,[0141185287],"Vintage (1992), Edition: Reissue, Paperback",3.5,,"2006-08-21 11:30:10",1,"Free thought > Periodicals > 
Free thought > Periodicals. [from old catalog]
War stories > 
War stories
World War, 1939-1945 > France > Fiction > 
World War, 1939-1945 > France > Fiction"
"The Ballad of the Sad Cafe (Penguin Modern Classics)","Carson McCullers","McCullers, Carson",2001,,,[014018130X],"Penguin Books Ltd (2001), Edition: New Ed, Paperback",4,,"2006-08-21 11:30:36",1,
"Joel on Software: And on Diverse and Occasionally Related Matters That Will Prove of Interest to Software Developers, De","Joel Spolsky","Spolsky, Joel",2004,,,[1590593898],"Apress (2004), Edition: 1, Paperback",0,,"2006-08-21 11:31:06",1,"Computer software > Development > 
Computer software > Development"
"Agile Web Development with Rails: A Pragmatic Guide (Pragmatic Programmers)","Dave Thomas","Thomas, Dave",2005,,,[097669400X],"Pragmatic Bookshelf (2005), Edition: 1, Paperback",4,,"2006-08-21 11:31:18",1,"Ruby (Computer program language) > Handbooks, manuals, etc > 
Ruby (Computer program language) > Handbooks, manuals, etc
Ruby (Langage de programmation) > Guides, manuels, etc > 
Sites Web > Dâeveloppement > Guides, manuels, etc > 
Web site development > Handbooks, manuals, etc > 
Web site development > Handbooks, manuals, etc"
"Programming Ruby: The Pragmatic Programmers' Guide, Second Edition","Dave Thomas","Thomas, Dave",2004,,,[0974514055],"Pragmatic Bookshelf (2004), Edition: 2nd, Paperback",0,,"2006-08-21 11:31:42",1,"Object-oriented programming (Computer science) > 
Object-oriented programming (Computer science)
Ruby (Computer program language) > 
Ruby (Computer program language)"
"Programming From The Ground Up","Jonathan Bartlett","Bartlett, Jonathan",2004,,,[0975283847],"Bartlett Publishing (2004), Paperback",0,,"2006-08-21 11:31:54",1,
"The Hacker Crackdown: Law And Disorder On The Electronic Frontier","Bruce Sterling","Sterling, Bruce",1993,,,[055356370X],"Bantam (1993), Edition: Reprint, Mass Market Paperback",0,,"2006-08-21 11:32:16",1,"Computer crimes > United States > 
Computer crimes > United States
Computer programming > Corrupt practices > 
Computer programming > Corrupt practices
Programming (Electronic computers) > United States > Corrupt practices
Telephone > Corrupt practices > United States > 
Telephone > United States > Corrupt practices
Telephone > United States. > Corrupt practices"
"In the Beginning...was the Command Line","Neal Stephenson","Stephenson, Neal",1999,,,[0380815931],"Harper Perennial (1999), Paperback",0,,"2006-08-21 11:34:21",1,"Operating systems (Computers) > 
Operating systems (Computers)"
"The Demon-Haunted World: Science as a Candle in the Dark","Carl Sagan","Sagan, Carl",1997,,,[0345409469],"Ballantine Books (1997), Edition: Reprint, Paperback",0,,"2006-08-21 11:35:44",1,"Literacy > Popular works > 
Literacy > Popular works
Science > Methodology > Popular works > 
Science > Popular works
Science > Study and teaching > Popular works > 
Science and civilization > Popular works > 
Science and civilization > Popular works"
"Empire: The Rise and Demise of the British World Order and the Lessons for Global Power","Niall Ferguson","Ferguson, Niall",2004,,,[0465023290],"Basic Books (2004), Edition: Reprint, Paperback",0,,"2006-08-21 11:36:14",1,"Civilization, Modern > British influences > 
Civilization, Modern > British influences
Commonwealth countries > 
Commonwealth countries
Great Britain > Colonies > History > 
Great Britain > Foreign relations > 
Great Britain > Foreign relations
Great Britain > History
Imperialism > 
Imperialism > History > 
Imperialism > History
Imperialism
Overzeese expansie"
"Colossus: The Rise and Fall of the American Empire","Niall Ferguson","Ferguson, Niall",2005,,,[0713997702],"Penguin (Non-Classics) (2005), Edition: Reprint, Paperback",3,,"2006-08-21 11:36:24",1,"Imperialism > 
Imperialism
United States > Foreign relations > 
United States > Foreign relations > 2001- > 
United States > Foreign relations > 2001-
United States > Foreign relations > 20th century > 
United States > Foreign relations > 20th century
United States > Foreign relations > Philosophy > 
United States > Foreign relations
United States > Philosophy"
"Guns, Germs, and Steel: The Fates of Human Societies","Jared M. Diamond","Diamond, Jared M.",1999,,,[0099302780],"W. W. Norton &amp; Company (1999), Paperback",0,,"2006-08-21 11:38:55",1,"Civilization > History > 
Civilization > History
Culture diffusion > 
Culture diffusion
Diamond, Jared M. > Criticism and interpretation > 
Ethnology > 
Ethnology
Human beings > Effect of environment on > 
Human beings > Effect of environment on
Social evolution > 
Social evolution"
"A Million Little Pieces","James Frey","Frey, James",2005,,,[0719561027],"Anchor (2005), Paperback",0,,"2006-08-21 11:39:39",1,"Drug addicts > Minnesota > Biography > 
Drug addicts > Minnesota > Biography
Drug addicts > Minnesota. > Rehabilitation
Drug addicts > Rehabilitation > Minnesota > 
Frey, James, 1969- > 
Narcotic addicts > Minnesota > Biography > 
Narcotic addicts > Rehabilitation > Minnesota > 
Opioid-Related Disorders > rehabilitation > Personal Narratives"
"Fight Club: A Novel","Chuck Palahniuk","Palahniuk, Chuck",2005,,,[0099765217],"W. W. Norton (2005), Edition: Reprint, Paperback",0,,"2006-08-21 11:40:11",1,"Adventure stories > 
Adventure stories
Aggressiveness > Fiction > 
Aggressiveness (Psychology) > Fiction > 
Aggressiveness (Psychology) > Fiction
Apocalyptic fantasies > 
Apocalyptic fantasies
Boxing > Fiction > 
Boxing > Fiction
Cancer > Fiction > 
Clubs > United States > Fiction > 
Clubs > United States > Fiction
Hand-to-hand fighting > United States > Fiction > 
Hand-to-hand fighting > United States > Fiction
Men > United States > Fiction > 
Millennialism > Fiction > 
Millennialism > Fiction
Millennialism > United States > Fiction > 
Millennialism > United States > Fiction
Movie novels > 
Science fiction > 
Science fiction
Young men > Fiction > 
Young men > Fiction
Young men > United States > Fiction > 
Young men > United States > Fiction"
Choke,"Chuck Palahniuk","Palahniuk, Chuck",2002,,,[0224061909],"Anchor (2002), Edition: Reprint, Paperback",3,,"2006-08-21 11:40:16",1,"Alzheimer's disease > Patients > Fiction > 
Alzheimer's disease > Patients > Fiction
Psychological fiction > 
Psychological fiction
Sex addiction > Fiction > 
Sex addicts > Fiction > 
Sex addicts > Fiction"
Non-fiction,"Chuck Palahniuk","Palahniuk, Chuck",2005,,,[009943797X],"Vintage (2005), Edition: New Ed, Paperback",0,,"2006-08-21 11:40:48",1,
"House of Leaves: The Remastered Full-Color Edition","Mark Z. Danielewski","Danielewski, Mark Z.",2000,,,[1862301107],"Pantheon (2000), Edition: 2nd Ed, Paperback",0,,"2006-08-21 11:41:31",1,"Experimental fiction > 
Experimental fiction
Horror fiction
Horror tales > 
Horror tales"
"Dogwalker: Stories (Vintage Contemporaries)","Arthur Bradford","Bradford, Arthur",2002,,,[0375726691],"Vintage (2002), Edition: Reprint, Paperback",0,,"2006-08-21 11:41:49",1,"Eccentrics and eccentricities > Fiction > 
Eccentrics and eccentricities > Fiction
Humorous stories, American > 
Humorous stories, American"
"The Crying of Lot 49","Thomas Pynchon","Pynchon, Thomas",1996,,,[0099532611],"Vintage (1996), Edition: New Ed, Paperback",0,,"2006-08-21 11:42:00",1,"Administration of estates > California > Fiction > 
Administration of estates > Fiction > 
Administration of estates > Fiction
California > Fiction > 
California > Fiction
Fiction in English > 
Fiction in English
Married women > California > Fiction > 
Married women > Fiction > 
Married women > Fiction"
"Cat's Cradle","Kurt Vonnegut","Vonnegut, Kurt",1998,,,[0140285601],"Dial Press Trade Paperback (1998), Paperback",4,,"2006-08-21 11:42:11",1,"End of the world > Fiction > 
End of the world > Fiction
Humorous fiction > 
Humorous fiction
Satire > 
Satire
Science fiction > 
Science fiction"
"Pattern Recognition","William Gibson","Gibson, William",2004,,,[0670875597],"Berkley Trade (2004), Edition: Reprint, Paperback",0,,"2006-08-21 11:42:25",1,"Business intelligence > Fiction > 
Business intelligence > Fiction
London (England) > Fiction > 
London (England) > Fiction
Mystery fiction > 
Mystery fiction
Women private investigators > England > London > Fiction > 
Women private investigators > London > Fiction"
"The Secret History","Donna Tartt","Tartt, Donna",1993,,,[0140167773],"Penguin (1993), Paperback",0,,"2006-08-21 11:42:39",1,"Classicists > Fiction > 
Classicists > Fiction
College stories > 
College stories
College students > Fiction > 
College students > Fiction
Detective and mystery stories > 
Murder > Fiction > 
Murder > Fiction
Murderers > Fiction > 
Murderers > Fiction
Psychological fiction > 
Psychological fiction
Students > New England > Fiction
Teacher-student relationships > Fiction > 
Teacher-student relationships > Fiction
Vermont > Fiction > 
Vermont > Fiction"
"The Little Friend","Donna Tartt","Tartt, Donna",2002,,,[0747562113],"Bloomsbury (2002), Hardcover",0,,"2006-08-21 11:42:46",1,"Bildungsromans > 
Bildungsromans
Brothers > Death > Fiction > 
Brothers > Death > Fiction
Girls > Fiction > 
Girls > Fiction
Historical fiction > 
Historical fiction
Mississippi > Fiction > 
Mississippi > Fiction
Murder victims' families > Fiction > 
Murder victims' families > Fiction
Murder victims' families > Mississippi > Fiction > 
Murder victims' families > Mississippi > Fiction
Murder victims\' families > Fiction > 
Murder victims\' families > Mississippi > Fiction > 
Revenge > Fiction > 
Revenge > Fiction
Sisters > Fiction > 
Sisters > Fiction"
Closer,"Dennis Cooper","Cooper, Dennis",1990,,,[1852423714],"Grove Press (1990), Edition: Reprint, Paperback",4,,"2006-08-21 11:43:04",1,
"My Loose Thread","Dennis Cooper","Cooper, Dennis",2003,,,[1841954128],"Canongate Books (2003), Edition: Reprint, Paperback",0,,"2006-08-21 11:43:09",1,"Teenage boys > Fiction"
"Dress Your Family in Corduroy and Denim","David Sedaris","Sedaris, David",2004,,,[0316143464],"Little, Brown (2004), Hardcover",0,,"2006-08-21 11:43:47",1,"American wit and humor > 
Humorous stories, American > 
Humorous stories, American"
"Infinite Jest: A Novel","David Foster Wallace","Wallace, David Foster",1997,,,[0349108773],"Back Bay Books (1997), Edition: 1st Paperback Ed, Paperback",0,,"2006-08-21 11:44:03",1,"Addicts > Fiction > 
Addicts > Fiction
Compulsive behavior > Fiction > 
Compulsive behavior > Fiction
Humorous stories > 
Humorous stories"
